sensor_type	dt	px	py	vx	vy	estimate_x	estimate_y	estimate_vx	estimate_vy	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS_lidar	NIS_radar
R	1477010449350000	18.2814	17.8617	-3.042	3.71372	18.2468	17.8055	-3.13352	3.61915	0.0765077	0.0949769	0.16447	0.228092	4.56076	2.43431
L	1477010449400000	18.1268	18.0453	-3.14318	3.62906	18.1081	17.991	-3.20685	3.54687	0.0762283	0.0947288	0.163927	0.227321	0.699682	2.43431
R	1477010449450000	17.9671	18.2246	-3.24204	3.5418	17.9341	18.1498	-3.32771	3.42122	0.0759899	0.0945913	0.163468	0.226692	0.699682	1.84584
L	1477010449500000	17.8026	18.3994	-3.3385	3.45199	17.7933	18.2976	-3.38119	3.31151	0.0757037	0.094649	0.162886	0.226159	1.0104	1.84584
R	1477010449550000	17.6334	18.5697	-3.43247	3.35973	17.6559	18.4775	-3.42029	3.25951	0.0754419	0.0946307	0.162271	0.225469	1.0104	6.70859
L	1477010449600000	17.4595	18.7353	-3.5239	3.26509	17.4629	18.652	-3.53689	3.17463	0.0751583	0.0945508	0.161664	0.224757	0.493963	6.70859
R	1477010449650000	17.281	18.8962	-3.61271	3.16817	17.2823	18.7963	-3.62571	3.05758	0.0748774	0.0945914	0.161063	0.22412	0.493963	1.65519
L	1477010449700000	17.0983	19.0521	-3.69883	3.06904	17.1148	18.9343	-3.68578	2.94691	0.0746131	0.0947842	0.160469	0.223536	0.339352	1.65519
R	1477010449750000	16.9113	19.203	-3.78221	2.9678	16.9468	19.1018	-3.73658	2.89019	0.0744006	0.0948327	0.159926	0.222812	0.339352	3.24991
L	1477010449800000	16.7201	19.3488	-3.86278	2.86455	16.7296	19.2165	-3.84463	2.74265	0.0741329	0.0951592	0.159349	0.222241	2.68417	3.24991
R	1477010449850000	16.5251	19.4894	-3.9405	2.75938	16.5412	19.3683	-3.91449	2.66076	0.0738766	0.0953722	0.158786	0.221594	2.68417	3.19533
L	1477010449900000	16.3262	19.6246	-4.01531	2.65237	16.3204	19.5216	-4.01939	2.57399	0.073612	0.0954297	0.158214	0.220895	0.925675	3.19533
R	1477010449950000	16.1237	19.7545	-4.08716	2.54364	16.0989	19.6105	-4.11191	2.39887	0.0733785	0.0958642	0.157662	0.220445	0.925675	9.86268
L	1477010450000000	15.9176	19.8789	-4.15602	2.43329	15.8938	19.7507	-4.17932	2.31456	0.0731454	0.0961322	0.157114	0.219889	0.802879	9.86268
R	1477010450050000	15.7082	19.9978	-4.22185	2.32141	15.7026	19.8718	-4.19678	2.24388	0.0728889	0.0963747	0.156574	0.21921	0.802879	3.72845
L	1477010450100000	15.4956	20.111	-4.28461	2.2081	15.4752	20.0169	-4.28194	2.1723	0.0726536	0.0963593	0.156026	0.218463	1.60895	3.72845
R	1477010450150000	15.2799	20.2185	-4.34427	2.09347	15.2682	20.1536	-4.32306	2.1158	0.0724074	0.0961764	0.155493	0.217711	1.60895	6.27004
L	1477010450200000	15.0613	20.3203	-4.4008	1.97763	15.0735	20.2832	-4.35277	2.04725	0.0721644	0.0958936	0.155008	0.217036	2.11499	6.27004
R	1477010450250000	14.84	20.4162	-4.4542	1.86068	14.8464	20.3686	-4.41152	1.91319	0.0719187	0.0956458	0.154516	0.216335	2.11499	1.81036
L	1477010450300000	14.6161	20.5063	-4.50443	1.74272	14.6284	20.4852	-4.45884	1.83294	0.0716809	0.0953358	0.154036	0.215726	0.880789	1.81036
R	1477010450350000	14.3897	20.5904	-4.55149	1.62386	14.3964	20.5738	-4.51883	1.70867	0.0714404	0.0950231	0.153538	0.215109	0.880789	1.03325
L	1477010450400000	14.1611	20.6686	-4.59537	1.50421	14.1496	20.6487	-4.58374	1.57498	0.0712065	0.0947177	0.153025	0.214465	0.668762	1.03325
R	1477010450450000	13.9304	20.7408	-4.63606	1.38386	13.9157	20.7216	-4.63219	1.44252	0.0709788	0.0944145	0.152514	0.213802	0.668762	0.253413
L	1477010450500000	13.6977	20.807	-4.67357	1.26294	13.6455	20.7855	-4.71228	1.3011	0.0708708	0.0941175	0.152041	0.213116	1.86193	0.253413
R	1477010450550000	13.4632	20.8671	-4.70789	1.14153	13.3994	20.8219	-4.76692	1.11	0.0708268	0.0938788	0.151615	0.212429	1.86193	2.48574
L	1477010450600000	13.2271	20.9211	-4.73904	1.01975	13.1518	20.8681	-4.8039	0.968526	0.0708571	0.0936695	0.15121	0.211774	0.182279	2.48574
R	1477010450650000	12.9895	20.969	-4.76702	0.897694	12.9195	20.925	-4.82247	0.855227	0.0708517	0.0934324	0.150785	0.211113	0.182279	1.73311
L	1477010450700000	12.7506	21.0108	-4.79186	0.775469	12.7113	20.9749	-4.80748	0.749876	0.0706933	0.0931751	0.150303	0.210441	1.75499	1.73311
R	1477010450750000	12.5106	21.0465	-4.81358	0.653175	12.4607	21.0144	-4.84255	0.61773	0.0705792	0.0929116	0.149838	0.209785	1.75499	2.69661
L	1477010450800000	12.2695	21.0761	-4.83219	0.530912	12.2141	21.0538	-4.86553	0.502159	0.0704928	0.0926324	0.149384	0.209128	0.174019	2.69661
R	1477010450850000	12.0276	21.0996	-4.84773	0.408778	11.9739	21.0748	-4.87864	0.360167	0.0703987	0.0923598	0.148931	0.208501	0.174019	1.083
L	1477010450900000	11.785	21.117	-4.86022	0.286869	11.7274	21.0532	-4.87869	0.175426	0.0703254	0.0922078	0.148469	0.208032	1.97518	1.083
R	1477010450950000	11.5418	21.1283	-4.86971	0.165281	11.4779	21.0415	-4.88601	0.0079463	0.0702871	0.0921748	0.14801	0.207754	1.97518	1.24657
L	1477010451000000	11.2982	21.1335	-4.87623	0.0441057	11.257	21.0398	-4.8579	-0.119773	0.070144	0.0921847	0.147556	0.20751	0.64851	1.24657
R	1477010451050000	11.0544	21.1327	-4.87982	-0.076565	11.0004	21.0036	-4.86295	-0.304671	0.070056	0.0924579	0.147106	0.207643	0.64851	4.41785
L	1477010451100000	10.8105	21.1259	-4.88053	-0.196643	10.7843	20.9712	-4.81662	-0.454314	0.069871	0.0929668	0.14674	0.207987	0.739509	4.41785
R	1477010451150000	10.5666	21.1131	-4.8784	-0.31604	10.5368	20.9638	-4.80594	-0.541906	0.0696966	0.0934127	0.146401	0.208101	0.739509	4.94807
L	1477010451200000	10.3229	21.0943	-4.87349	-0.434674	10.2678	20.9829	-4.84041	-0.611361	0.0696173	0.0935324	0.145979	0.207924	3.14672	4.94807
R	1477010451250000	10.0795	21.0697	-4.86585	-0.552463	10.0292	20.9627	-4.82235	-0.719387	0.0695172	0.093619	0.145578	0.207702	3.14672	0.985722
L	1477010451300000	9.83658	21.0391	-4.85554	-0.669327	9.82641	20.9261	-4.75815	-0.837754	0.0693132	0.093747	0.145337	0.207489	1.70212	0.985722
